State;Overall rank;Overall score;Quality of life score;Cost of housing score;Public health score;Crime score;Taxes score;Weather score;Cost of living score;Overall score2
Florida;1;100;52;67;61;83;60;89;83;100
Nebraska;2;92;56;87;79;82;39;45;89;92
Maryland;3;89;96;63;81;60;41;57;72;89
Minnesota;4;87;64;76;94;87;34;30;82;87
Wisconsin;5;87;48;80;80;95;44;34;85;87
New Hampshire;6;82;60;54;96;93;56;36;63;82
Utah;7;79;76;49;100;72;34;44;81;79
Iowa;8;78;40;92;66;80;42;43;92;78
New Jersey;9;77;96;46;67;91;24;54;72;77
South Dakota;10;77;44;80;72;56;66;37;99;77
Georgia;11;77;40;77;44;69;62;74;92;77
North Dakota;12;76;56;86;75;51;63;28;91;76
Virginia;13;73;72;67;67;66;30;58;86;73
Pennsylvania;14;73;60;85;63;59;47;46;86;73
Texas;15;73;40;81;46;52;65;77;91;73
Indiana;16;72;32;89;55;70;58;50;91;72
Colorado;17;71;76;45;98;48;55;37;82;71
Vermont;18;70;52;67;97;98;20;34;70;70
Connecticut;19;70;80;65;88;88;4;47;63;70
Michigan;20;69;36;89;72;53;65;37;89;69
Rhode Island;21;68;72;56;67;93;40;48;59;68
Massachusetts;22;68;100;33;80;87;39;45;49;68
Wyoming;23;67;44;73;56;71;74;29;90;67
Ohio;24;66;40;91;48;66;52;50;89;66
Kansas;25;65;48;91;63;36;42;55;100;65
Arizona;26;64;48;62;58;68;57;67;76;64
North Carolina;27;64;40;76;56;57;53;64;88;64
Missouri;28;63;40;88;35;56;58;56;99;63
South Carolina;29;62;36;81;56;39;62;71;87;62
Maine;30;60;44;66;80;96;31;31;74;60
Idaho;31;60;36;58;73;100;46;33;77;60
Oregon;32;59;68;52;73;62;45;41;81;59
Illinois;33;58;68;85;58;47;27;51;84;58
Delaware;34;58;56;67;84;44;31;58;81;58
West Virginia;35;54;16;100;9;91;54;51;97;54
Alabama;36;51;24;91;25;54;54;72;94;51
Washington;37;50;76;38;90;50;46;40;66;50
Hawaii;38;49;100;0;92;95;16;100;0;49
Kentucky;39;45;16;94;13;80;56;58;87;45
Mississippi;40;44;0;98;0;81;54;74;99;44
Oklahoma;41;42;20;94;15;46;61;66;99;42
Louisiana;42;39;28;95;1;43;60;79;91;39
Tennessee;43;38;28;78;29;26;73;62;100;38
Montana;44;37;40;57;59;64;48;31;89;37
Alaska;45;35;52;71;63;64;100;0;29;35
Nevada;46;19;52;60;32;24;56;47;90;19
Arkansas;47;18;12;94;18;25;50;67;96;18
New York;48;17;92;54;62;30;0;39;73;17
California;49;16;84;11;59;71;21;63;41;16
New Mexico;50;0;12;80;42;0;50;54;93;0
